Song #,Song Title,Reg. Date,ISWC #,Affiliate #,Name,Pro,Publisher/Writer,Share %
700114727,TE VAS A ARREPENTIR,10/05/2020,T3095220212,4926154,IMANOL QUEZADA,BMI,W,16.660000
700114727,TE VAS A ARREPENTIR,10/05/2020,T3095220212,4944837,ALFONSO DE JESUS QUESADA MANCHA,UNKNOWN,W,16.670000
700114727,TE VAS A ARREPENTIR,10/05/2020,T3095220212,494884,MUSIC OF AFINARTE,SESAC,P,16.670000
700114727,TE VAS A ARREPENTIR,10/05/2020,T3095220212,513165,ALEJANDRO  ENRIQUEZ INDA,BMI,W,16.670000
60779450,TIEMPO DE CELEBRAR,01/29/2020,T3111923156,4517420,RUBEN SALAZAR ASTORGA,BMI,W,50.000000
60779450,TIEMPO DE CELEBRAR,01/29/2020,T3111923156,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
60779448,TONTO CORAZON,01/29/2020,T3091920166,4517420,RUBEN SALAZAR ASTORGA,BMI,W,50.000000
60779448,TONTO CORAZON,01/29/2020,T3091920166,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
743191079,TOQUE DE QUEDA  (ISIDRO FLORES),12/03/2024,T3336455422,480575,JESUS ANTONIO INZUNZA MONTOYA,SESAC,W,50.000000
743191079,TOQUE DE QUEDA  (ISIDRO FLORES),12/03/2024,T3336455422,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
753228392,UNO QUE ME QUIERA,06/10/2025,,4519319,SONGS OF AFINARTE,BMI,P,33.330000
753228392,UNO QUE ME QUIERA,06/10/2025,,461638,DIEGO EMMANUEL SANDOVAL BETANCOURT,SACM,W,16.670000
753228392,UNO QUE ME QUIERA,06/10/2025,,494884,MUSIC OF AFINARTE,SESAC,P,16.670000
753228392,UNO QUE ME QUIERA,06/10/2025,,6416138,JOSE MANUEL SEGOVIA AGUIRRE,SESAC,W,16.670000
753228392,UNO QUE ME QUIERA,06/10/2025,,8383821,IRENE DEL ROSARIO ZUNIGA IBARRA,UNKNOWN,W,16.660000
759211596,VALE MAS,11/12/2025,,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
759211596,VALE MAS,11/12/2025,,967179,OSCAR MANUEL AVILEZ FLORES,SESAC,W,50.000000
727968572,YO QUISIERA,10/28/2023,T3293316431,451248,EDUARDO GURROLA MARTINES,SESAC,W,50.000000
727968572,YO QUISIERA,10/28/2023,T3293316431,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
699095157,YO SIN TU AMOR,09/08/2020,T3094926844,4517420,RUBEN SALAZAR ASTORGA,BMI,W,25.000000
699095157,YO SIN TU AMOR,09/08/2020,T3094926844,4947103,LUIS IGNACIO MEXIA NUNEZ,BMI,W,25.000000
699095157,YO SIN TU AMOR,09/08/2020,T3094926844,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
