"Artist","Track Title","ISRC","SXID","Effective %","Hold","Registrant","Payee ID#","Association Type"
"Kanales","El Jinete","US3DF1414308","SX210LE3NA","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","Paciencia Al Paciente","US3DF1414305","SX210LE3NB","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","El Mele","US3DF1414306","SX210LE3NC","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","Ultima Batalla Del M1","US3DF1414314","SX210LE3NE","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","Fugitivo Del Infierno","US3DF1414304","SX210LE3NF","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","Tiros Y Flores (Bonus Track)","US3DF1414315","SX210LE3NG","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","La Maca","US3DF1414312","SX210LE3NI","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","Alas De Papel","US3DF1414302","SX210LE3NJ","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","El Cochiniado","US3DF1414300","SX210LE3NM","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Alemi Bustos","Gente Argüendera","FRS182081247","SX211AU5XO","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Ruben Salazar","Me Parece Un Cuento","FRS182081246","SX211AU5XR","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Irene Del Rosario","Se Marcho","FRS182081140","SX211AU5XU","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","Por Qué Terminamos?","FRS182069546","SX211AU5Y1","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","Cita Con Un Invento","FRS182069545","SX211AU5Y2","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","A Ella","FRS182069543","SX211AU5Y9","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","Ay Amor","FRS182069539","SX211AU5YA","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","Lucio Peña","FRS182069551","SX211AU5YE","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","La Culpa Es Mía","FRX762040786","SX211AU5YH","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","La Media Noche","FRX762040788","SX211AU5YJ","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","Necesito","FRX762040787","SX211AU5YK","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","Perdón, Perdón","FRX762040781","SX211AU5YM","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","Antología","FRX762040784","SX211AU5YN","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","Imperio Beltrán Leyva","FRX762040791","SX211AU5YQ","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","Feliciano","QM6DC1559169","SX210MKS5W","100.0","Yes","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","Procampo","QM6DC1559171","SX210MKS5X","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","Del Monte Soy","QM6DC1559181","SX210MKS5Y","100.0","Yes","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","La Adivinanza","QM6DC1559180","SX210MKS60","100.0","Yes","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","Corrido De Chano","QM6DC1559174","SX210MKS62","100.0","Yes","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","Sigo Siendo Ismael (Feat. Kaleb Mendez)","QM6DC1559173","SX210MKS63","100.0","Yes","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","Quiero Mirar","QM6DC1559172","SX210MKS64","100.0","Yes","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","El Nando Sigue Aqu’","QM6DC1559178","SX210MKS67","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","Benito","QM6DC1559167","SX210MKS68","100.0","Yes","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","El Bravo","QM6DC1559177","SX210MKS69","100.0","Yes","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Kanales","Propio Patr—N","QM6DC1559166","SX210MKS6A","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Alemi Bustos","El M76","FR26V2008676","SX211AXD1E","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"El Fantasma","Por Manuelito","TCADW1839065","SX210WUGID","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"El Fantasma","Dolor Y Amor","TCADW1839064","SX210WUGIE","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"El Fantasma","Hombre De Rancho","TCADW1839069","SX210WUGIG","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"El Fantasma","Sombrero Ladeado","TCADW1839067","SX210WUGII","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"El Fantasma","El Pinguin","TCADW1839062","SX210WUGIJ","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
