MLC Song Code,Primary Title,ISWC,Member Song IDs,Artists,Party Id,Party Name,Party IPI,Party Role,Collectible Share,Chain of Title Id,Chain of Title Parent Id
EB2AQ3,EL DETALLITO,,,GERARDO DÃ?AZ Y SU GERARQUIA | GERARDO DIAZ Y SU GERARQUIA,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
PF2PY0,PIERDES Y GANAS,,,IMPOSTORES DE NUEVO LEON,8896502,"GARCIA, RODOLFO",,Composer/Author,,2,
PF2PY0,PIERDES Y GANAS,,,IMPOSTORES DE NUEVO LEON,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
PF2PY0,PIERDES Y GANAS,,,IMPOSTORES DE NUEVO LEON,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
SD1HPB,SOY EL 50,,,GRUPO LOS DEL RANCHO,13029149,"SAUCEDA, ANGEL",,Composer/Author,,2,
SD1HPB,SOY EL 50,,,GRUPO LOS DEL RANCHO,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
SD1HPB,SOY EL 50,,,GRUPO LOS DEL RANCHO,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
PF2ILS,PA' LLEGAR A SER GRANDE,,,LOS DOS DE TAMAULIPAS,13650464,"ZAPATA, ORLANDO",01051026907,Composer/Author,,2,
PF2ILS,PA' LLEGAR A SER GRANDE,,,LOS DOS DE TAMAULIPAS,13650134,"ZAPATA, ROLANDO",01051027316,Composer/Author,,3,
PF2ILS,PA' LLEGAR A SER GRANDE,,,LOS DOS DE TAMAULIPAS,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2|3
PF2ILS,PA' LLEGAR A SER GRANDE,,,LOS DOS DE TAMAULIPAS,P117Z9,MELODIES OF RIGOLETTO MUSIC PUBLISHING,01036461187,Administrator,100.000,4,1
LA5LXM,LA SUERTE DEL SENOR,T9324914990,,EL FANTASMA,13029146,"MANCHA, ALFONSO",,Composer/Author,,3,
LA5LXM,LA SUERTE DEL SENOR,T9324914990,,EL FANTASMA,12958553,"MANCHA, IMANOL",,Composer/Author,,2,
LA5LXM,LA SUERTE DEL SENOR,T9324914990,,EL FANTASMA,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2|3
LA5LXM,LA SUERTE DEL SENOR,T9324914990,,EL FANTASMA,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,4,1
EB2AN1,EL DOCTOR,,,LOS DOS CARNALES,12958553,"MANCHA, IMANOL",,Composer/Author,,2,
EB2AN1,EL DOCTOR,,,LOS DOS CARNALES,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
EB2AN1,EL DOCTOR,,,LOS DOS CARNALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
